Title,Subtitles,Author,Category,Goal Amount,Current Amount,Image,Video,Is_Top,Is Recommended,Start Date,End Date,Creation Date,Content,Tags
Revolutionize Tech with AI,Creating opportunities for young and talented creatives.,Nathan West,Charity,8687842,7762363,Images/Revolutionize Tech with AI_0.png,,False,True,2024-07-24,2024-09-28,2024-09-07,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Tech', 'Education']"
Virtual Reality Fitness: Work Out at Home,"Your health, fitness, and convenience – all in one.",Thomas Thomas,Events,8234967,6682462,Images/Virtual Reality Fitness: Work Out at Home_1.png,,False,False,2024-04-15,2024-09-25,2024-09-08,"Let’s say goodbye to traditional chargers and hello to a sustainable future. With your support, we’re launching a portable solar-powered charger that keeps your devices alive wherever you go, without harming the planet.","['Environment', 'Environment']"
Affordable Hearing Aids for All,Bridging the gap between knowledge and access.,Nancy Mcgee,Art,2199705,822519,Images/Affordable Hearing Aids for All_2.png,,False,False,2024-05-06,2024-09-28,2024-09-09,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Fashion', 'Community']"
Electric Bikes for a Sustainable Future,Unveiling the real stories behind our changing planet.,Albert Tran Jr.,Music,4124141,3977885,Images/Electric Bikes for a Sustainable Future_3.png,,False,False,2024-03-27,2024-09-24,2024-09-11,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Environment', 'Music']"
Yoga Mat with Built-in Guidance System,"Harness the power of the sun, anywhere, anytime.",Elizabeth Hunt,Tech,6765049,3276712,Images/Yoga Mat with Built-in Guidance System_4.png,,True,True,2024-05-30,2024-09-16,2024-09-08,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Music', 'Food']"
Mental Health Support App for Teens,"Clean water on the go, for any adventure.",Terry Hopkins,Community,7308092,2982975,Images/Mental Health Support App for Teens_5.png,,False,False,2024-04-07,2024-09-17,2024-09-09,"Clean water is a basic human right, yet millions still lack access. We’ve created a compact water purifier that fits in your backpack and provides safe, drinkable water anywhere. Join us in solving the world’s water crisis.","['Environment', 'Events']"
Fight Childhood Obesity with Our App,"Your health, fitness, and convenience – all in one.",Susan Long,Environment,1218601,1902431,Images/Fight Childhood Obesity with Our App_6.png,,False,True,2024-07-04,2024-09-15,2024-09-03,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Music', 'Film']"
Innovative Home Security: Stay Safe,"Preserving the past, for the future.",Caitlin Brown,Photography,8084193,7773089,Images/Innovative Home Security: Stay Safe_7.png,,False,True,2024-02-20,2024-10-04,2024-09-10,"Keep your home safe with our new home security solution. Designed to be affordable and accessible, this system offers real-time monitoring and alerts, giving you peace of mind wherever you are.","['Publishing', 'Film']"
"Wireless Charging: Charge Anywhere, Anytime","Building the future with science, technology, engineering, and math.",Nicole Lopez,Travel,220006,4676150,"Images/Wireless Charging: Charge Anywhere, Anytime_8.png",,True,True,2024-02-20,2024-09-26,2024-09-02,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Health', 'Art']"
Plant-Based Supplements for Optimal Health,Unveiling the real stories behind our changing planet.,Derek James,Publishing,4566643,9341927,Images/Plant-Based Supplements for Optimal Health_9.png,,True,True,2024-07-23,2024-10-07,2024-09-11,"We’re creating a smartwatch that goes beyond fitness tracking. With AI integration, enhanced features, and a sleek design, this will be the most advanced watch ever created. Help us make it a reality!","['Environment', 'Travel']"
Solar-Powered Charger for the Future,"Clean water on the go, for any adventure.",Kenneth Singleton,Business,6707360,8145271,Images/Solar-Powered Charger for the Future_10.png,,True,False,2024-04-25,2024-09-29,2024-09-02,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Animals', 'Publishing']"
Reusable Masks to Protect the Planet,"Your health, fitness, and convenience – all in one.",Jeffrey Gonzalez MD,Health,7963551,7691144,Images/Reusable Masks to Protect the Planet_11.png,,True,False,2024-04-27,2024-10-05,2024-09-08,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Environment', 'Events']"
Fight Childhood Obesity with Our App,Creating opportunities for young and talented creatives.,Drew Smith,Sports,8126468,7350162,Images/Fight Childhood Obesity with Our App_12.png,,True,True,2024-08-04,2024-09-20,2024-09-13,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Film', 'Environment']"
A Portable Water Purifier for Everyone,"Your health, fitness, and convenience – all in one.",Jonathan Cook,Tech,5732301,3058753,Images/A Portable Water Purifier for Everyone_13.png,,True,True,2024-01-08,2024-09-29,2024-09-04,"Let’s say goodbye to traditional chargers and hello to a sustainable future. With your support, we’re launching a portable solar-powered charger that keeps your devices alive wherever you go, without harming the planet.","['Film', 'Gaming']"
Virtual Reality Fitness: Work Out at Home,"Smart, efficient, and affordable home protection.",Sarah Olson,Sports,7287416,5610813,Images/Virtual Reality Fitness: Work Out at Home_14.png,,False,True,2024-06-27,2024-10-10,2024-09-09,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Animals', 'Animals']"
