UserID,CampaignID,InteractionType
UID_00825,CID_00313,share
UID_00724,CID_00128,view
UID_00334,CID_00388,like
UID_00695,CID_00397,invest
UID_00119,CID_00424,like
UID_00852,CID_00196,view
UID_00051,CID_00271,view
UID_00676,CID_00071,like
UID_00853,CID_00494,like
UID_00933,CID_00191,view
UID_00518,CID_00117,share
UID_00235,CID_00083,like
UID_00599,CID_00238,view
UID_00225,CID_00172,like
UID_00867,CID_00497,view
UID_00222,CID_00307,like
UID_00732,CID_00452,invest
UID_00836,CID_00159,view
UID_00806,CID_00428,invest
UID_00959,CID_00147,like
UID_00791,CID_00078,view
UID_00198,CID_00179,like
UID_00539,CID_00083,share
UID_00972,CID_00361,like
UID_00922,CID_00072,like
UID_00846,CID_00370,view
UID_00979,CID_00499,share
UID_00384,CID_00217,view
UID_00872,CID_00441,invest
UID_00493,CID_00046,share
UID_00833,CID_00041,share
UID_00963,CID_00013,share
UID_00117,CID_00196,invest
UID_00616,CID_00311,share
UID_00173,CID_00296,view
UID_00448,CID_00481,like
UID_00821,CID_00237,view
UID_00885,CID_00164,share
UID_00233,CID_00239,share
UID_00092,CID_00094,share
UID_00817,CID_00388,view
UID_00504,CID_00320,share
UID_00190,CID_00393,view
UID_00344,CID_00104,share
UID_00407,CID_00332,share
UID_00245,CID_00127,view
UID_00428,CID_00323,share
UID_00840,CID_00323,view
UID_00676,CID_00019,like
UID_00905,CID_00145,share
UID_00942,CID_00032,share
UID_00723,CID_00005,view
UID_00760,CID_00123,invest
UID_00415,CID_00223,view
UID_00768,CID_00297,share
UID_00080,CID_00008,like
UID_00306,CID_00474,like
UID_00003,CID_00183,invest
UID_00217,CID_00164,view
UID_00596,CID_00381,view
UID_00988,CID_00120,view
UID_00051,CID_00026,share
UID_00019,CID_00232,invest
UID_00945,CID_00424,invest
UID_00338,CID_00254,view
UID_00413,CID_00189,like
UID_00322,CID_00478,invest
UID_00258,CID_00257,share
UID_00554,CID_00152,view
UID_00949,CID_00336,like
UID_00556,CID_00132,view
UID_00699,CID_00037,invest
UID_00071,CID_00347,share
UID_00986,CID_00207,like
UID_00054,CID_00448,invest
UID_00723,CID_00407,view
UID_00114,CID_00396,invest
UID_00036,CID_00250,invest
UID_00839,CID_00049,share
UID_00289,CID_00014,invest
UID_00711,CID_00001,share
UID_00405,CID_00421,view
UID_00371,CID_00046,view
UID_00796,CID_00373,share
UID_00565,CID_00101,share
UID_00573,CID_00337,view
UID_00587,CID_00129,view
UID_00994,CID_00136,view
UID_00539,CID_00409,view
UID_00235,CID_00044,view
UID_00695,CID_00248,share
UID_00932,CID_00357,share
UID_00364,CID_00273,view
UID_00782,CID_00444,invest
UID_00891,CID_00338,invest
UID_00349,CID_00452,view
UID_00357,CID_00270,view
UID_00569,CID_00275,view
UID_00391,CID_00186,like
UID_00946,CID_00032,share
UID_00499,CID_00376,invest
UID_00670,CID_00048,view
UID_00317,CID_00248,invest
UID_00885,CID_00138,like
UID_00271,CID_00456,invest
UID_00530,CID_00139,share
UID_00569,CID_00035,like
UID_00739,CID_00328,share
UID_00650,CID_00351,view
UID_00034,CID_00401,like
UID_00463,CID_00317,view
UID_00370,CID_00012,view
UID_00099,CID_00234,like
UID_00607,CID_00020,invest
UID_00514,CID_00221,invest
UID_00779,CID_00489,view
UID_00536,CID_00232,like
UID_00467,CID_00185,share
UID_00787,CID_00081,invest
UID_00193,CID_00228,share
UID_00367,CID_00355,share
UID_00231,CID_00462,share
UID_00379,CID_00228,invest
UID_00097,CID_00281,like
UID_00835,CID_00248,like
UID_00289,CID_00065,like
UID_00698,CID_00490,view
UID_00609,CID_00282,like
UID_00746,CID_00453,share
UID_00703,CID_00004,invest
UID_00371,CID_00268,view
UID_00121,CID_00185,view
UID_00814,CID_00326,share
UID_00963,CID_00187,like
UID_00266,CID_00050,invest
UID_00519,CID_00013,like
